,Asset1,Asset2,Asset3
2017-01-01,1.0,5.0,10.0
2017-01-02,1.019777867,5.011322097,10.32927155
2017-01-03,1.036212814,5.025120283,10.110893800000001
2017-01-04,1.056558567,5.024695712,10.01847031
2017-01-05,1.031535727,4.976696963,9.575087707
2017-01-06,1.052234755,4.984321156,9.262328047
2017-01-07,1.073767005,5.023256664,9.202672811000001
2017-01-08,1.032722503,5.059304042,9.671722906
2017-01-09,1.04396108,5.074099218,9.527450689
2017-01-10,1.07849443,5.044151879,9.527967912000001
2017-01-11,1.05262443,4.9970319960000005,9.90143131
2017-01-12,1.063596837,4.9695106760000005,10.29291405
2017-01-13,1.044366104,5.010917772,10.67760326
2017-01-14,1.0428170909999999,5.007413163,10.24960204
2017-01-15,1.0089542470000001,5.016825679,10.02225167
2017-01-16,1.054805899,4.973739388,10.4026486
